Video,Sequences
jc_00001,
jc_00002,
jc_00003,
jc_00004,
jc_00005,
jc_00006,
jc_00007,
jc_00008,
jc_00009,
jc_00010,
jc_00011,
jc_00012,
jc_00013,
jc_00014,
jc_00015,
jc_00016,
jc_00017,
jc_00018,
jc_00019,
jc_00020,
jc_00021,
jc_00022,
jc_00023,
jc_00024,
jc_00025,
jc_00026,
jc_00027,
jc_00028,
jc_00029,
jc_00030,
jc_00031,
jc_00032,
jc_00033,"[(3, 17), (22, 42)]"
jc_00034,"[(3, 10), (21,  25), (37, 46), (60, 66)] "
jc_00035,"[(3, 20)]"
jc_00036,"[(0, 8), (11, 17)]"
jc_00037,"[(3, 8)]"
jc_00038,"[(0, 5)]"
jc_00039,"[(2, 8), (14, 21)]"
jc_00040,"[(1, 8), (18, 36), (43, 53), (63, 68),(80, 89), (98, 104), (111, 123), (137, 140), (149, 158), (169, 177)]"
jc_00041,"[(2, 11), (18, 25), (30, 35), (40, 44)]"
jc_00042,"[(3, 6), (28, 39), (50, 56), (68, 78), (93, 102), (116, 122), (133, 138), (150, 159), (165, 170)]"
jc_00043,"[(9, 17)]"
jc_00044,
jc_00045,"[(7, 27), (38, 48), (59, 66), (94, 100), (112, 115), (130, 139), (149, 157), (168, 182), (185, 190), (200, 202), (218, 222), (237, 241), (268, 276), (298, 307), (311, 315), (333, 342), (374, 376), (390, 396), (407, 411), (425, 432), (459, 471), (475, 480),  (483, 487), (490, 495), (498, 504), (507, 511)]"
jc_00046,
